Dataset,Graph#,dirname,Filename,Class,Order,Genus,Species,Taxa,interaction_type,edge_wt_type,geographical_location,population_type,data_record_technique,time_span,resolution,Citation
Ants Network (Keller),0,ants_proximity_weighted,N0_ant_mersch_col1_day01.graphml,Insecta,Hymenoptera,Camponotus,fellah,Camponotus_fellah,physical_contact,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
,1,ants_proximity_weighted,N1_ant_mersch_col1_day02.graphml,Insecta,Hymenoptera,Camponotus,fellah,Camponotus_fellah,physical_contact,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
,2,ants_proximity_weighted,N2_ant_mersch_col1_day03.graphml,Insecta,Hymenoptera,Camponotus,fellah,Camponotus_fellah,physical_contact,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
,3,ants_proximity_weighted,N3_ant_mersch_col1_day04.graphml,Insecta,Hymenoptera,Camponotus,fellah,Camponotus_fellah,physical_contact,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
,4,ants_proximity_weighted,N4_ant_mersch_col1_day05.graphml,Insecta,Hymenoptera,Camponotus,fellah,Camponotus_fellah,physical_contact,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
,5,ants_proximity_weighted,N5_ant_mersch_col1_day06.graphml,Insecta,Hymenoptera,Camponotus,fellah,Camponotus_fellah,physical_contact,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
,6,ants_proximity_weighted,N6_ant_mersch_col1_day07.graphml,Insecta,Hymenoptera,Camponotus,fellah,Camponotus_fellah,physical_contact,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
,7,ants_proximity_weighted,N7_ant_mersch_col1_day08.graphml,Insecta,Hymenoptera,Camponotus,fellah,Camponotus_fellah,physical_contact,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
,8,ants_proximity_weighted,N8_ant_mersch_col1_day09.graphml,Insecta,Hymenoptera,Camponotus,fellah,Camponotus_fellah,physical_contact,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
,9,ants_proximity_weighted,N9_ant_mersch_col1_day10.graphml,Insecta,Hymenoptera,Camponotus,fellah,Camponotus_fellah,physical_contact,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
