graphfile,Species,Class,Population type,Geographical Location,Data collection technique,Interaction type,Definition of interaction,Edge weight type,Total duration of data collection,Time resolution of data collection,Number of nodes,Number of edges,Network density,Average degree,Highest degree,CV degree,Skewness,Node strength (average),Node strength (standard deviation),Edge strength (average),Edge strength (standard deviation),Degree assortativity,Betweenness centrality (average),Betweenness centrality (standard deviation),Weighted betweeness centrality (average),Weighted betweenness centrality (standard deviation),Clustering coefficient (average),Weighted clustering coefficient (average),Transitivity,Newman modularity (Q),Maximum modularity (Qmax),Relative modularity (Qrel),Network cohesion,Number of modules,Average module size,Note,Citation
stickleback_atton_group_1.graphml,Gasterosteus aculeatus,Actinopterygii,captive,"St. Andrews, UK",video,group membership,A pair of individuals were classed as shoaling if they were within four body lengths of one another from head to head. Gambit of the group approach was then used to assume that a string of fish connected by less than two body lengths were all assumed to be associating with one another.,frequency,120 min,6 min,10,45,1.0,9.0,9,0.0,NA,4.76,0.974,0.529,0.177,nan,0.0,0.0,0.067,0.2,1.0,0.571,1.0,0.0,0.0,NA,1.0,1,10.0,Networks represent social data collected from seven replicate groups of fish,"Atton, N., et al. ""Familiarity affects social network <br> structure and discovery of prey patch locations <br> in foraging stickleback shoals."" Proceedings of the <br> Royal Society of London B: Biological Sciences <br> 281.1789 (2014): 20140579."
stickleback_atton_group_2.graphml,Gasterosteus aculeatus,Actinopterygii,captive,"St. Andrews, UK",video,group membership,A pair of individuals were classed as shoaling if they were within four body lengths of one another from head to head. Gambit of the group approach was then used to assume that a string of fish connected by less than two body lengths were all assumed to be associating with one another.,frequency,120 min,6 min,10,45,1.0,9.0,9,0.0,NA,3.18,0.809,0.353,0.159,nan,0.0,0.0,0.085,0.191,1.0,0.511,1.0,0.0,0.0,NA,1.0,1,10.0,Networks represent social data collected from seven replicate groups of fish,"Atton, N., et al. ""Familiarity affects social network <br> structure and discovery of prey patch locations <br> in foraging stickleback shoals."" Proceedings of the <br> Royal Society of London B: Biological Sciences <br> 281.1789 (2014): 20140579."
stickleback_atton_group_3.graphml,Gasterosteus aculeatus,Actinopterygii,captive,"St. Andrews, UK",video,group membership,A pair of individuals were classed as shoaling if they were within four body lengths of one another from head to head. Gambit of the group approach was then used to assume that a string of fish connected by less than two body lengths were all assumed to be associating with one another.,frequency,120 min,6 min,10,45,1.0,9.0,9,0.0,NA,2.77,0.93,0.308,0.181,nan,0.0,0.0,0.069,0.165,1.0,0.377,1.0,0.0,0.0,NA,1.0,1,10.0,Networks represent social data collected from seven replicate groups of fish,"Atton, N., et al. ""Familiarity affects social network <br> structure and discovery of prey patch locations <br> in foraging stickleback shoals."" Proceedings of the <br> Royal Society of London B: Biological Sciences <br> 281.1789 (2014): 20140579."
stickleback_atton_group_4.graphml,Gasterosteus aculeatus,Actinopterygii,captive,"St. Andrews, UK",video,group membership,A pair of individuals were classed as shoaling if they were within four body lengths of one another from head to head. Gambit of the group approach was then used to assume that a string of fish connected by less than two body lengths were all assumed to be associating with one another.,frequency,120 min,6 min,10,45,1.0,9.0,9,0.0,NA,2.24,0.362,0.249,0.111,nan,0.0,0.0,0.057,0.073,1.0,0.46,1.0,0.0,0.0,NA,1.0,1,10.0,Networks represent social data collected from seven replicate groups of fish,"Atton, N., et al. ""Familiarity affects social network <br> structure and discovery of prey patch locations <br> in foraging stickleback shoals."" Proceedings of the <br> Royal Society of London B: Biological Sciences <br> 281.1789 (2014): 20140579."
stickleback_atton_group_5.graphml,Gasterosteus aculeatus,Actinopterygii,captive,"St. Andrews, UK",video,group membership,A pair of individuals were classed as shoaling if they were within four body lengths of one another from head to head. Gambit of the group approach was then used to assume that a string of fish connected by less than two body lengths were all assumed to be associating with one another.,frequency,120 min,6 min,10,45,1.0,9.0,9,0.0,NA,2.24,0.39,0.249,0.116,nan,0.0,0.0,0.077,0.115,1.0,0.456,1.0,0.0,0.0,NA,1.0,1,10.0,Networks represent social data collected from seven replicate groups of fish,"Atton, N., et al. ""Familiarity affects social network <br> structure and discovery of prey patch locations <br> in foraging stickleback shoals."" Proceedings of the <br> Royal Society of London B: Biological Sciences <br> 281.1789 (2014): 20140579."
stickleback_atton_group_6.graphml,Gasterosteus aculeatus,Actinopterygii,captive,"St. Andrews, UK",video,group membership,A pair of individuals were classed as shoaling if they were within four body lengths of one another from head to head. Gambit of the group approach was then used to assume that a string of fish connected by less than two body lengths were all assumed to be associating with one another.,frequency,120 min,6 min,10,45,0.978,8.8,9,0.045,-2.083,2.75,0.666,0.313,0.127,-0.222,0.003,0.001,0.083,0.174,0.978,0.581,0.977,0.0,0.0,NA,1.0,1,10.0,Networks represent social data collected from seven replicate groups of fish,"Atton, N., et al. ""Familiarity affects social network <br> structure and discovery of prey patch locations <br> in foraging stickleback shoals."" Proceedings of the <br> Royal Society of London B: Biological Sciences <br> 281.1789 (2014): 20140579."
stickleback_atton_group_7.graphml,Gasterosteus aculeatus,Actinopterygii,captive,"St. Andrews, UK",video,group membership,A pair of individuals were classed as shoaling if they were within four body lengths of one another from head to head. Gambit of the group approach was then used to assume that a string of fish connected by less than two body lengths were all assumed to be associating with one another.,frequency,120 min,6 min,10,45,1.0,9.0,9,0.0,NA,3.91,0.718,0.434,0.152,nan,0.0,0.0,0.026,0.052,1.0,0.525,1.0,0.0,0.0,NA,1.0,1,10.0,Networks represent social data collected from seven replicate groups of fish,"Atton, N., et al. ""Familiarity affects social network <br> structure and discovery of prey patch locations <br> in foraging stickleback shoals."" Proceedings of the <br> Royal Society of London B: Biological Sciences <br> 281.1789 (2014): 20140579."
guppy_hasenjager_familiar_1.graphml,Poecilia reticulata,Actinopterygii,captive,"Louisville, Kentucky",video,spatial proximity,A contact phase between two individuals was one or more consecutive observations in which they were recorded as being within four body length to one another.,frequency,90min,10 seconds,6,15,1.0,5.0,5,0.0,NA,76.667,4.11,15.333,3.718,nan,0.0,0.0,0.0,0.0,1.0,0.712,1.0,0.0,0.0,NA,1.0,1,6.0,Networks represent 10 independed replicates of grourp of 5 guppies that were familiar with each other,"Hasenjager, Matthew J., and Lee Alan Dugatkin. ""Familiarity <br> affects network structure and information flow in <br> guppy (Poecilia reticulata) shoals."" Behavioral Ecology (2016): <br> arw152."
guppy_hasenjager_familiar_10.graphml,Poecilia reticulata,Actinopterygii,captive,"Louisville, Kentucky",video,spatial proximity,A contact phase between two individuals was one or more consecutive observations in which they were recorded as being within four body length to one another.,frequency,90min,10 seconds,6,15,1.0,5.0,5,0.0,NA,90.333,6.498,18.067,3.151,nan,0.0,0.0,0.0,0.0,1.0,0.688,1.0,0.0,0.0,NA,1.0,1,6.0,Networks represent 10 independed replicates of grourp of 5 guppies that were familiar with each other,"Hasenjager, Matthew J., and Lee Alan Dugatkin. ""Familiarity <br> affects network structure and information flow in <br> guppy (Poecilia reticulata) shoals."" Behavioral Ecology (2016): <br> arw152."
guppy_hasenjager_familiar_2.graphml,Poecilia reticulata,Actinopterygii,captive,"Louisville, Kentucky",video,spatial proximity,A contact phase between two individuals was one or more consecutive observations in which they were recorded as being within four body length to one another.,frequency,90min,10 seconds,6,15,1.0,5.0,5,0.0,NA,74.667,11.981,14.933,4.753,nan,0.0,0.0,0.033,0.075,1.0,0.657,1.0,0.0,0.0,NA,1.0,1,6.0,Networks represent 10 independed replicates of grourp of 5 guppies that were familiar with each other,"Hasenjager, Matthew J., and Lee Alan Dugatkin. ""Familiarity <br> affects network structure and information flow in <br> guppy (Poecilia reticulata) shoals."" Behavioral Ecology (2016): <br> arw152."
