Graph#,dirname,filename,class,genus,species,interaction_type,definition_of_interaction,edge_wt_type,geographical_location,population_type,data_record_technique,time_span,resolution,time_span_per_day,attributes_available,is_connected,num_components,nodes,edges,network.density,highest.degree,avg.degree,std.degree.node,CV.degree,skewness,avg.node.strength,std.node.strength,CV.node.strength,avg.edge.strength,std.edge.strength,CV.edge.strength,highest.node.strength,deg.assort,avg.betw.centrality,std.betw.centrality,highest.betw,avg.betw.centrality.weighted,std.betw.centrality.weighted,highest.betw.weighted,clustering,clustering.weighted,transitivity,Q,Qmax,Qrel,cohesion,num.modules,avg.modsize,diameter,Citation
0,ants_proximity_weighted,N0_ant_mersch_col1_day01.graphml,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,113,4550,0.719,109,80.531,13.488,0.167,-0.199,549.699,201.879,0.367,6.826,7.766,1.138,1165,-0.03,0.003,0.001,0.006394113,0.008,0.006,0.030603221,0.799,0.034,0.786,0.139,0.5,0.278,0.639340449,2,56.5,2,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
1,ants_proximity_weighted,N1_ant_mersch_col1_day02.graphml,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,113,4573,0.723,106,80.938,14.685,0.181,-1.027,623.823,200.178,0.321,7.707,9.082,1.178,1307,0.02,0.002,0.001,0.006887967,0.009,0.006,0.027626856,0.81,0.037,0.797,0.131,0.5,0.262,0.631095975,2,56.5,2,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
2,ants_proximity_weighted,N2_ant_mersch_col1_day03.graphml,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,113,4483,0.708,104,79.345,16.005,0.202,-1.306,618.726,193.851,0.313,7.798,10.106,1.296,1386,0.072,0.003,0.002,0.010756269,0.009,0.007,0.044828052,0.813,0.02,0.799,0.133,0.492,0.27,0.640197368,2,56.5,3,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
3,ants_proximity_weighted,N3_ant_mersch_col1_day04.graphml,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,113,4094,0.647,101,72.46,14.815,0.204,-0.88,511.858,146.162,0.286,7.064,7.898,1.118,995,0.07,0.003,0.002,0.010132325,0.009,0.007,0.03290054,0.771,0.041,0.753,0.174,0.493,0.353,0.681486765,2,56.5,3,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
4,ants_proximity_weighted,N4_ant_mersch_col1_day05.graphml,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,113,4149,0.656,101,73.434,14.993,0.204,-0.788,523.31,192.176,0.367,7.126,8.458,1.187,1406,0.049,0.003,0.002,0.011750096,0.009,0.007,0.036513444,0.771,0.033,0.754,0.163,0.5,0.326,0.663530023,2,56.5,2,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
5,ants_proximity_weighted,N5_ant_mersch_col1_day06.graphml,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,113,4259,0.673,100,75.381,16.686,0.221,-1.157,537.858,206.191,0.383,7.135,8.397,1.177,1492,0.061,0.003,0.002,0.007332193,0.009,0.006,0.03380892,0.789,0.04,0.774,0.142,0.499,0.285,0.642635119,2,56.5,3,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
6,ants_proximity_weighted,N6_ant_mersch_col1_day07.graphml,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,113,4077,0.644,101,72.159,15.143,0.21,-0.888,544.832,262.243,0.481,7.55,8.928,1.183,1582,0.049,0.003,0.002,0.012419397,0.009,0.007,0.033814495,0.765,0.045,0.746,0.166,0.498,0.333,0.667405203,2,56.5,3,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
7,ants_proximity_weighted,N7_ant_mersch_col1_day08.graphml,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,113,4076,0.644,99,72.142,15.679,0.217,-0.978,540.584,282.907,0.523,7.493,9.245,1.234,1442,0.098,0.003,0.002,0.008726502,0.009,0.007,0.03929768,0.759,0.041,0.747,0.151,0.499,0.303,0.652842244,2,56.5,3,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
8,ants_proximity_weighted,N8_ant_mersch_col1_day09.graphml,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,113,4128,0.652,105,73.062,15.878,0.217,-0.614,562.478,304.884,0.542,7.699,8.927,1.16,1510,0.049,0.003,0.002,0.010016878,0.009,0.007,0.031843403,0.771,0.034,0.756,0.158,0.495,0.319,0.663032464,2,56.5,3,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
9,ants_proximity_weighted,N9_ant_mersch_col1_day10.graphml,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,113,3943,0.623,93,69.788,15.421,0.221,-0.64,532.23,308.373,0.579,7.626,9.911,1.3,1580,0.082,0.003,0.002,0.009442923,0.01,0.008,0.040045052,0.751,0.027,0.736,0.173,0.488,0.355,0.685514816,2,56.5,3,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
